,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
222,071/3/2022-11-14 10:45:22.725404-222.jpg,352.481505,527.7331499999999,790.35726,545.55919,1.0
223,071/3/2022-11-14 10:45:22.731408-223.jpg,351.178725,522.287075,792.79461,545.880125,1.0
224,071/3/2022-11-14 10:45:22.736852-224.jpg,354.17242,522.778875,792.9783150000001,546.55849,1.0
225,071/3/2022-11-14 10:45:22.741250-225.jpg,349.4298,525.0522500000001,792.236335,546.83636,1.0
226,071/3/2022-11-14 10:45:22.747127-226.jpg,350.102935,521.252245,795.6464,545.328545,1.0
227,071/3/2022-11-14 10:45:22.753284-227.jpg,351.89111,525.07671,791.8244350000001,544.8046750000001,1.0
228,071/3/2022-11-14 10:45:22.759670-228.jpg,349.56553,525.62725,794.45027,544.930865,1.0
229,071/3/2022-11-14 10:45:22.765970-229.jpg,354.134925,529.872995,793.51085,546.16355,1.0
230,071/3/2022-11-14 10:45:22.775176-230.jpg,355.83496,529.61911,794.51738,545.15598,1.0
231,071/3/2022-11-14 10:45:22.781606-231.jpg,359.953825,525.552415,797.0580550000001,545.06096,1.0
232,071/3/2022-11-14 10:45:22.787054-232.jpg,357.31107,526.7259750000001,795.3855699999999,547.7275400000001,1.0
233,071/3/2022-11-14 10:45:22.791606-233.jpg,358.68172000000004,525.017515,796.32605,545.9387300000001,1.0
234,071/3/2022-11-14 10:45:22.797253-234.jpg,359.07915,529.7138100000001,800.93287,550.597965,1.0
235,071/3/2022-11-14 10:45:22.803555-235.jpg,359.729555,528.76768,797.551105,546.288235,1.0
236,071/3/2022-11-14 10:45:22.809759-236.jpg,361.898255,526.795445,798.9905200000001,545.061585,1.0
237,071/3/2022-11-14 10:45:22.816006-237.jpg,363.9584,527.989395,798.741685,546.2524999999999,1.0
238,071/3/2022-11-14 10:45:22.822280-238.jpg,362.546645,529.991,798.9201149999999,544.327135,1.0
239,071/3/2022-11-14 10:45:22.828422-239.jpg,366.68089,521.59579,799.3400200000001,542.45416,1.0
240,071/3/2022-11-14 10:45:22.835975-240.jpg,368.76021,529.09337,801.460335,543.997955,1.0
241,071/3/2022-11-14 10:45:22.842486-241.jpg,370.17437,525.96832,804.419595,544.71441,1.0
242,071/3/2022-11-14 10:45:22.848038-242.jpg,376.968795,533.34593,801.0539200000001,542.2997,1.0
243,071/3/2022-11-14 10:45:22.853480-243.jpg,368.48522,524.1541,800.6597300000001,542.79203,1.0
244,071/3/2022-11-14 10:45:22.859761-244.jpg,377.40078,529.8229000000001,804.12976,543.32202,1.0
245,071/3/2022-11-14 10:45:22.865979-245.jpg,379.92889,531.027895,806.924265,546.51571,1.0
246,071/3/2022-11-14 10:45:22.872226-246.jpg,381.267525,532.11373,804.71822,548.832225,1.0
247,071/3/2022-11-14 10:45:22.878360-247.jpg,383.94101,536.37963,809.59117,550.49099,1.0
248,071/3/2022-11-14 10:45:22.884528-248.jpg,384.35561,534.27828,811.08576,548.4529749999999,1.0
249,071/3/2022-11-14 10:45:22.891138-249.jpg,383.73687,529.828555,808.338755,547.209145,1.0
250,071/3/2022-11-14 10:45:22.897521-250.jpg,385.446685,529.550405,808.09705,548.7655,1.0
251,071/3/2022-11-14 10:45:22.903525-251.jpg,384.77639,530.04562,810.9094550000001,547.685145,1.0
252,071/3/2022-11-14 10:45:22.909845-252.jpg,385.784075,530.780965,809.22998,544.73761,1.0
